"Iteration Count","Job[1] Result","Job[1] Runtime (ms)","Job[2] Result","Job[2] Runtime (ms)","Job[3] Result","Job[3] Runtime (ms)","Job[4] Result","Job[4] Runtime (ms)","Job[5] Result","Job[5] Runtime (ms)","Job[6] Result","Job[6] Runtime (ms)","Total Runtime (ms)"
"59","3.14131175","135","3.1412105","135","3.14202525","135","3.1409795","135","3.1422025","135","3.141454","135","135"
"60","3.14162025","123","3.14199975","123","3.1417405","123","3.14116225","123","3.140942","123","3.14172225","123","123"
"61","3.14065125","129","3.140924","129","3.14134575","129","3.14161525","129","3.14143075","129","3.14193225","129","129"
"62","3.14145575","124","3.142582","124","3.14214275","124","3.14175075","124","3.141695","124","3.141631","124","124"
"63","3.1413125","126","3.14245175","126","3.141238","126","3.14104075","126","3.14114725","126","3.1413835","126","127"
"64","3.1411225","128","3.1413375","128","3.14093975","128","3.14178725","128","3.14144125","128","3.14161925","128","128"
"65","3.14140375","123","3.142107","123","3.1409775","123","3.141453","123","3.142141","123","3.1413545","123","124"
"66","3.14199225","125","3.14139475","125","3.14176875","125","3.1416295","125","3.141522","125","3.14181875","125","126"
"67","3.14246275","125","3.140655","125","3.14097375","125","3.14111025","125","3.1412405","125","3.14115225","125","125"
"68","3.14092325","122","3.14156925","122","3.1419655","122","3.141823","122","3.14245675","122","3.1415325","122","122"
"69","3.14148725","138","3.1412995","138","3.1412295","138","3.14187375","138","3.14169975","138","3.142017","138","138"
"70","3.141656","123","3.14163175","123","3.14117325","123","3.14092625","123","3.1423625","123","3.14131625","123","123"
"71","3.141564","116","3.14193475","116","3.14153025","116","3.14196475","116","3.1417315","116","3.1417535","116","116"
"72","3.14164475","130","3.14156025","130","3.14133525","130","3.142013","130","3.1417115","130","3.14069","130","130"
"73","3.14198775","125","3.1412725","125","3.14129325","125","3.14197025","125","3.14120575","125","3.141108","125","125"
"74","3.14164175","140","3.14105675","140","3.1415225","140","3.14174925","140","3.14170325","140","3.14182775","140","140"
"75","3.14150025","122","3.14157725","122","3.14092725","122","3.142099","122","3.141672","122","3.14171225","122","122"
"76","3.14159025","122","3.14095075","122","3.141613","122","3.141597","122","3.14165775","122","3.14110125","122","122"
"77","3.1416875","142","3.14186675","142","3.14199425","142","3.14216525","142","3.141601","142","3.14190875","142","142"
"78","3.14206175","130","3.14162375","130","3.14179375","130","3.14126725","130","3.1418885","130","3.14209125","130","130"
"79","3.1412845","123","3.14161025","123","3.141159","123","3.14160475","123","3.14162125","123","3.14080975","123","123"
"80","3.14189275","132","3.14232175","132","3.14209775","132","3.1419695","132","3.14160175","132","3.142158","132","132"
"81","3.14119175","126","3.14151225","126","3.141406","126","3.14048775","126","3.14092675","126","3.140747","126","126"
"82","3.141265","139","3.14139525","139","3.14116625","139","3.14213025","139","3.14098775","139","3.14210875","139","139"
"83","3.14141725","121","3.141602","121","3.1421965","121","3.14129925","121","3.1421325","121","3.14158075","121","121"
"84","3.14149675","126","3.141459","126","3.14248325","126","3.14108875","126","3.1415515","126","3.14184275","126","126"
"85","3.14205625","146","3.1419145","146","3.141597","146","3.14176625","146","3.14186275","146","3.141075","146","146"
"86","3.14159925","127","3.1409595","127","3.14242975","127","3.14196775","127","3.14143975","127","3.14175025","127","127"
"87","3.1411815","122","3.14217475","122","3.14149825","122","3.142102","122","3.141277","122","3.14266675","122","122"
"88","3.14166975","141","3.14201025","141","3.14126575","141","3.14095925","141","3.14219925","141","3.1420685","141","141"
"89","3.1417355","122","3.14178625","122","3.141214","122","3.14164325","122","3.14181125","122","3.141046","122","122"
"90","3.14111675","129","3.14193725","129","3.1415165","129","3.141856","129","3.141973","129","3.1420765","129","129"
"91","3.14227325","120","3.141297","120","3.1413885","120","3.14119625","120","3.1409845","120","3.14181975","120","120"
"92","3.141986","124","3.1416265","124","3.14197825","124","3.14207725","124","3.1411785","124","3.14175625","124","124"
"93","3.14072325","136","3.141958","136","3.1404855","136","3.141069","136","3.142988","136","3.14174125","136","136"
"94","3.14236675","138","3.141489","138","3.1417395","138","3.14300575","138","3.141643","138","3.14140625","138","138"
"95","3.141694","132","3.1411675","132","3.14200275","132","3.141319","132","3.1423315","132","3.141606","132","132"
"96","3.140982","139","3.141778","139","3.1418645","139","3.14202525","139","3.1421185","139","3.14165725","139","139"
"97","3.1411325","130","3.14089725","130","3.14102575","130","3.14083725","130","3.1420225","130","3.141368","130","131"
"98","3.14102","134","3.1419525","134","3.14175875","134","3.1413155","134","3.1417615","134","3.141839","134","134"
"99","3.14171825","126","3.14176975","126","3.14195525","126","3.14179975","126","3.14103775","126","3.141508","126","126"
"100","3.14174325","123","3.141103","123","3.1409595","123","3.1411555","123","3.141645","123","3.14195475","123","123"
