"Iteration Count","Job[1] Result","Job[1] Runtime (ms)","Job[2] Result","Job[2] Runtime (ms)","Job[3] Result","Job[3] Runtime (ms)","Job[4] Result","Job[4] Runtime (ms)","Job[5] Result","Job[5] Runtime (ms)","Job[6] Result","Job[6] Runtime (ms)","Job[7] Result","Job[7] Runtime (ms)","Job[8] Result","Job[8] Runtime (ms)","Job[9] Result","Job[9] Runtime (ms)","Total Runtime (ms)"
"1","3.141784","182","3.1410165","182","3.1409405","182","3.141086","182","3.14127","182","3.14208175","182","3.14193125","182","3.14122525","182","3.1409415","182","193"
"2","3.1414825","171","3.14126725","171","3.14152025","171","3.14138875","171","3.14147675","171","3.142004","171","3.14109425","171","3.1411985","171","3.14170075","171","179"
"3","3.1416495","186","3.14209475","186","3.142065","186","3.1411085","186","3.14212025","186","3.14225925","186","3.14132925","186","3.14167775","186","3.140353","186","186"
"4","3.142145","190","3.14103325","190","3.1409165","190","3.14141875","190","3.1412685","190","3.14174825","190","3.1420595","190","3.14176225","190","3.1414655","190","190"
"5","3.1409475","176","3.1416815","176","3.1418425","176","3.1417195","176","3.14177125","176","3.141041","176","3.1412415","176","3.142106","176","3.1413515","176","176"
"6","3.142161","192","3.14180125","192","3.14177875","192","3.14053625","192","3.14136475","192","3.14127475","192","3.14144675","192","3.1417105","192","3.14172625","192","193"
"7","3.140863","177","3.14148675","177","3.1411","177","3.14074125","177","3.1421945","177","3.1412385","177","3.14265525","177","3.14223875","177","3.141713","177","177"
"8","3.142474","197","3.14128475","197","3.14165325","197","3.14134175","197","3.140723","197","3.14212","197","3.14260075","197","3.140941","197","3.14172775","197","197"
"9","3.14164675","176","3.14158","176","3.141873","176","3.142309","176","3.14147025","176","3.14097375","176","3.1418575","176","3.1413485","176","3.14154925","176","176"
"10","3.14221575","188","3.14172","188","3.14220875","188","3.14179175","188","3.14099525","188","3.14115025","188","3.141444","188","3.14195025","188","3.14178275","188","188"
"11","3.14141475","184","3.14143175","184","3.1412155","184","3.14113375","184","3.14150575","184","3.1419185","184","3.141928","184","3.14094475","184","3.14135025","184","185"
"12","3.141815","174","3.14091725","174","3.14119","174","3.14218","174","3.1416825","174","3.141795","174","3.141904","174","3.14177775","174","3.14195","174","174"
"13","3.14184075","190","3.14156875","190","3.140999","190","3.141176","190","3.1418355","190","3.1409495","190","3.141345","190","3.1415325","190","3.1415385","190","190"
"14","3.14141625","175","3.14160375","175","3.1413","175","3.1418595","175","3.141964","175","3.141062","175","3.1419865","175","3.1417245","175","3.1415835","175","176"
"15","3.141065","173","3.1410325","173","3.14130975","173","3.1415315","173","3.1423815","173","3.14150025","173","3.14194775","173","3.1416295","173","3.141457","173","188"
"16","3.14039275","180","3.14133075","180","3.1418405","180","3.142178","180","3.1414345","180","3.14151225","180","3.1416425","180","3.1416965","180","3.1414225","180","180"
"17","3.142152","185","3.14160625","185","3.14186875","185","3.14186925","185","3.1413845","185","3.14201125","185","3.1418535","185","3.1411415","185","3.14155425","185","186"
"18","3.14166625","202","3.14162275","202","3.142335","202","3.14208525","202","3.14167225","202","3.14201275","202","3.14187125","202","3.14097475","202","3.14083225","202","202"
"19","3.1420415","175","3.14172275","175","3.1418845","175","3.14138675","175","3.1410625","175","3.14170475","175","3.14152475","175","3.14187425","175","3.14191625","175","175"
"20","3.1423575","185","3.141481","185","3.14081475","185","3.14131875","185","3.14098","185","3.14221225","185","3.14207425","185","3.142142","185","3.1408615","185","185"
"21","3.1409605","179","3.1417315","179","3.14228225","179","3.14175375","179","3.1419505","179","3.14138675","179","3.1422515","179","3.14127475","179","3.142277","179","179"
"22","3.14104025","191","3.1421445","191","3.14231525","191","3.14152975","191","3.14147025","191","3.14161875","191","3.14152725","191","3.1419025","191","3.1412835","191","191"
"23","3.141234","184","3.14138825","184","3.140839","184","3.14181675","184","3.1416955","184","3.1417855","184","3.14129325","184","3.1408325","184","3.14154125","184","184"
"24","3.14208","184","3.14138475","184","3.141675","184","3.141233","184","3.14118975","184","3.141451","184","3.141901","184","3.14153975","184","3.14145775","184","184"
"25","3.14090225","182","3.14263725","182","3.14163725","182","3.1416535","182","3.1417035","182","3.14173025","182","3.14181825","182","3.1412285","182","3.14157775","182","182"
"26","3.14197525","178","3.14279225","178","3.14139325","178","3.14158425","178","3.1415635","178","3.1413055","178","3.1415375","178","3.141539","178","3.141456","178","178"
"27","3.141646","188","3.1417915","188","3.14152625","188","3.14118725","188","3.1422185","188","3.14161375","188","3.14071675","188","3.1420605","188","3.1415765","188","188"
"28","3.14202775","169","3.14170325","169","3.14089875","169","3.1418495","169","3.14218925","169","3.14163025","169","3.14185025","169","3.14188225","169","3.141603","169","180"
"29","3.1415065","191","3.14178725","191","3.1413825","191","3.14233","191","3.14200175","191","3.14200575","191","3.14192","191","3.1414655","191","3.14116175","191","191"
"30","3.14194175","181","3.141461","181","3.14145975","181","3.14166275","181","3.14213425","181","3.14156125","181","3.14126025","181","3.141627","181","3.141656","181","181"
"31","3.1417685","187","3.1410405","187","3.14170375","187","3.14140125","187","3.141142","187","3.1413355","187","3.14189525","187","3.1416145","187","3.14210775","187","187"
