"Iteration Count","Job[1] Result","Job[1] Runtime (ms)","Job[2] Result","Job[2] Runtime (ms)","Job[3] Result","Job[3] Runtime (ms)","Job[4] Result","Job[4] Runtime (ms)","Job[5] Result","Job[5] Runtime (ms)","Job[6] Result","Job[6] Runtime (ms)","Job[7] Result","Job[7] Runtime (ms)","Job[8] Result","Job[8] Runtime (ms)","Job[9] Result","Job[9] Runtime (ms)","Job[10] Result","Job[10] Runtime (ms)","Total Runtime (ms)"
"36","3.1419785","214","3.14215375","214","3.1413545","214","3.14189075","214","3.14235025","214","3.14097425","214","3.140927","214","3.142091","214","3.1421075","214","3.14189375","214","214"
"37","3.14169875","205","3.141187","205","3.1421265","205","3.14184175","205","3.14148825","205","3.1415855","205","3.14172375","205","3.1414645","205","3.14226925","205","3.1416265","205","206"
"38","3.1414505","197","3.1413925","197","3.14205475","197","3.14171825","197","3.14146975","197","3.1418685","197","3.141499","197","3.141144","197","3.141328","197","3.1412155","197","197"
"39","3.1421135","208","3.14128425","208","3.14195725","208","3.140783","208","3.14195","208","3.14112125","208","3.1418555","208","3.14136825","208","3.1414705","208","3.140965","208","208"
"40","3.14106425","208","3.142235","208","3.141745","208","3.14192075","208","3.142074","208","3.141906","208","3.14085975","208","3.1419975","208","3.14188025","208","3.14072","208","208"
"41","3.1419595","194","3.1416165","194","3.141313","194","3.1420995","194","3.140253","194","3.14236525","194","3.14258125","194","3.1420935","194","3.140917","194","3.1415","194","194"
"42","3.141661","200","3.142179","200","3.14199425","200","3.142365","200","3.14097775","200","3.141834","200","3.14204925","200","3.14112025","200","3.14178675","200","3.14129675","200","202"
"43","3.14137075","200","3.142275","200","3.14120225","200","3.141952","200","3.140802","200","3.14132675","200","3.14210325","200","3.14103525","200","3.14166775","200","3.14136425","200","201"
"44","3.1411615","213","3.1411115","213","3.14187425","213","3.1412985","213","3.141681","213","3.14177225","213","3.14063275","213","3.142097","213","3.1416215","213","3.14126325","213","213"
"45","3.14179025","219","3.1416575","219","3.1411515","219","3.1421745","219","3.14129425","219","3.1412015","219","3.14116775","219","3.14166825","219","3.14225175","219","3.14161","219","222"
"46","3.14190475","208","3.141764","208","3.1417575","208","3.14115175","208","3.14135475","208","3.1414385","208","3.141834","208","3.141128","208","3.1411925","208","3.1417085","208","209"
"47","3.14212725","219","3.14177775","219","3.14120225","219","3.1418535","219","3.141652","219","3.1414625","219","3.1409815","219","3.14121125","219","3.141468","219","3.14057475","219","219"
"48","3.14193225","207","3.142114","207","3.1423165","207","3.14132475","207","3.1417425","207","3.1418475","207","3.14167275","207","3.14074675","207","3.14164775","207","3.142128","207","208"
"49","3.141077","195","3.14192","195","3.14222475","195","3.1419945","195","3.14089575","195","3.141835","195","3.141021","195","3.14134925","195","3.1413975","195","3.14140725","195","195"
"50","3.141309","217","3.14189575","217","3.1415825","217","3.141","217","3.14182425","217","3.14219225","217","3.1422635","217","3.14210475","217","3.14164975","217","3.1416735","217","217"
"51","3.14122775","204","3.14146925","204","3.14199025","204","3.1412555","204","3.1417355","204","3.1418325","204","3.141649","204","3.14225525","204","3.14227675","204","3.142459","204","205"
"52","3.14094925","197","3.1416205","197","3.14162","197","3.14136275","197","3.1419065","197","3.14133425","197","3.14096375","197","3.14124575","197","3.14244475","197","3.14174925","197","197"
"53","3.14198525","208","3.14115825","208","3.1415055","208","3.141944","208","3.1411635","208","3.1411125","208","3.14069925","208","3.1408865","208","3.14148275","208","3.1418085","208","209"
"54","3.14165175","195","3.1410525","195","3.1412565","195","3.141335","195","3.14213775","195","3.14102575","195","3.14118","195","3.14236775","195","3.14174375","195","3.14221625","195","195"
